seed,variant_label,variant_id,train_test_gap_top5,valid_test_gap_top5,train_top5,train_top10,train_top20,valid_top5,valid_top10,valid_top20,test_top5,test_top10,test_top20
13,rf_all,random_forest_balanced/all/blend1.00,0.09176027883076521,-0.028517726359453044,0.7644221493343624,0.7644221493343624,0.7644221493343624,0.6441441441441441,0.7171171171171171,0.7441441441441441,0.6726618705035972,0.7482014388489209,0.7715827338129496
13,gb_all,gradient_boosting/all/blend1.00,0.003168562969419919,-0.018656426210382993,0.64885201620683,0.7381825197761914,0.7644221493343624,0.6270270270270271,0.7126126126126127,0.7441441441441441,0.64568345323741,0.7392086330935251,0.7715827338129496
13,lr_all,logistic_regression_balanced/all/blend1.00,0.003420319889178347,-0.02046632963899153,0.6446073702488906,0.7374107659656569,0.7644221493343624,0.6207207207207207,0.7126126126126127,0.7441441441441441,0.6411870503597122,0.7392086330935251,0.7715827338129496
21,rf_all,random_forest_balanced/all/blend1.00,0.08816315652860696,-0.031213947760710403,0.7644221493343624,0.7644221493343624,0.7644221493343624,0.645045045045045,0.7153153153153153,0.7441441441441441,0.6762589928057554,0.7437050359712231,0.7715827338129496
21,gb_all,gradient_boosting/all/blend1.00,0.003168562969419919,-0.018656426210382993,0.64885201620683,0.7381825197761914,0.7644221493343624,0.6270270270270271,0.7126126126126127,0.7441441441441441,0.64568345323741,0.7392086330935251,0.7715827338129496
21,lr_all,logistic_regression_balanced/all/blend1.00,0.003420319889178347,-0.02046632963899153,0.6446073702488906,0.7374107659656569,0.7644221493343624,0.6207207207207207,0.7126126126126127,0.7441441441441441,0.6411870503597122,0.7392086330935251,0.7715827338129496
42,rf_all,random_forest_balanced/all/blend1.00,0.0872638759530674,-0.03391503013805175,0.7644221493343624,0.7644221493343624,0.7644221493343624,0.6432432432432432,0.7216216216216216,0.7441441441441441,0.677158273381295,0.7428057553956835,0.7715827338129496
42,gb_all,gradient_boosting/all/blend1.00,0.003168562969419919,-0.018656426210382993,0.64885201620683,0.7381825197761914,0.7644221493343624,0.6270270270270271,0.7126126126126127,0.7441441441441441,0.64568345323741,0.7392086330935251,0.7715827338129496
42,lr_all,logistic_regression_balanced/all/blend1.00,0.003420319889178347,-0.02046632963899153,0.6446073702488906,0.7374107659656569,0.7644221493343624,0.6207207207207207,0.7126126126126127,0.7441441441441441,0.6411870503597122,0.7392086330935251,0.7715827338129496
87,rf_all,random_forest_balanced/all/blend1.00,0.08636459537752783,-0.03481431071359131,0.7644221493343624,0.7644221493343624,0.7644221493343624,0.6432432432432432,0.7153153153153153,0.7441441441441441,0.6780575539568345,0.7446043165467626,0.7715827338129496
87,gb_all,gradient_boosting/all/blend1.00,0.003168562969419919,-0.018656426210382993,0.64885201620683,0.7381825197761914,0.7644221493343624,0.6270270270270271,0.7126126126126127,0.7441441441441441,0.64568345323741,0.7392086330935251,0.7715827338129496
87,lr_all,logistic_regression_balanced/all/blend1.00,0.003420319889178347,-0.02046632963899153,0.6446073702488906,0.7374107659656569,0.7644221493343624,0.6207207207207207,0.7126126126126127,0.7441441441441441,0.6411870503597122,0.7392086330935251,0.7715827338129496
100,rf_all,random_forest_balanced/all/blend1.00,0.09086099825522564,-0.02581340333138893,0.7644221493343624,0.7644221493343624,0.7644221493343624,0.6477477477477478,0.7144144144144144,0.7441441441441441,0.6735611510791367,0.7428057553956835,0.7715827338129496
100,gb_all,gradient_boosting/all/blend1.00,0.003168562969419919,-0.018656426210382993,0.64885201620683,0.7381825197761914,0.7644221493343624,0.6270270270270271,0.7126126126126127,0.7441441441441441,0.64568345323741,0.7392086330935251,0.7715827338129496
100,lr_all,logistic_regression_balanced/all/blend1.00,0.003420319889178347,-0.02046632963899153,0.6446073702488906,0.7374107659656569,0.7644221493343624,0.6207207207207207,0.7126126126126127,0.7441441441441441,0.6411870503597122,0.7392086330935251,0.7715827338129496
