estimator,feature_set,feature,importance
gradient_boosting,all,reciprocal_rank,0.3103171759776926
gradient_boosting,all,rank,0.25336567319193215
gradient_boosting,all,title_in_question,0.14445624957607642
gradient_boosting,all,score_margin_to_top,0.07784101477957289
gradient_boosting,all,sparse_score,0.06170285105063174
gradient_boosting,all,text_query_overlap,0.05701447835156308
gradient_boosting,all,score_ratio_to_top,0.023208422967805505
gradient_boosting,all,mentions_other_candidate_titles,0.01731377012118789
gradient_boosting,all,title_token_mentioned_by_other_docs,0.014283601460933153
gradient_boosting,all,is_linked,0.007342524365390233
gradient_boosting,all,title_len,0.0058887738698689025
gradient_boosting,all,is_firsthop,0.005758173527639917
gradient_boosting,all,title_query_overlap,0.004965721182719179
gradient_boosting,all,candidate_title_overlap_mean,0.004217718342653967
gradient_boosting,all,title_mentioned_by_other_docs,0.004160996719813219
gradient_boosting,all,candidate_title_overlap_max,0.0034833986283610494
gradient_boosting,all,bridge_score,0.0028850937816709407
gradient_boosting,all,score,0.0013287985609758642
gradient_boosting,all,lexical_score,0.0003055822728456342
gradient_boosting,all,text_len,0.00015998127066577667
gradient_boosting,all,mentions_query_overlap_titles,0.0
gradient_boosting,all,question_in_title,0.0
gradient_boosting,bridge_context,rank,0.4719812575040459
gradient_boosting,bridge_context,reciprocal_rank,0.28772192185710804
gradient_boosting,bridge_context,text_query_overlap,0.08090024584714943
gradient_boosting,bridge_context,mentions_other_candidate_titles,0.05155106202325281
gradient_boosting,bridge_context,title_token_mentioned_by_other_docs,0.028916583917273923
gradient_boosting,bridge_context,title_mentioned_by_other_docs,0.026924998048454538
gradient_boosting,bridge_context,score,0.02419025716818749
gradient_boosting,bridge_context,candidate_title_overlap_mean,0.007575470760730779
gradient_boosting,bridge_context,is_linked,0.004879529848696388
gradient_boosting,bridge_context,is_firsthop,0.004356456456189313
gradient_boosting,bridge_context,mentions_query_overlap_titles,0.004348148319690248
gradient_boosting,bridge_context,candidate_title_overlap_max,0.0036549944526980335
gradient_boosting,bridge_context,title_query_overlap,0.002999073796523049
gradient_boosting,query_doc,reciprocal_rank,0.3154533507898477
gradient_boosting,query_doc,rank,0.30226221762271904
gradient_boosting,query_doc,title_in_question,0.13947160809307196
gradient_boosting,query_doc,text_query_overlap,0.10440617822188171
gradient_boosting,query_doc,is_firsthop,0.07206910870335971
gradient_boosting,query_doc,is_linked,0.05194668664530177
gradient_boosting,query_doc,title_query_overlap,0.006607437300542161
gradient_boosting,query_doc,title_len,0.004084604297405281
gradient_boosting,query_doc,text_len,0.0031527545725562422
gradient_boosting,query_doc,score,0.00034090573712358094
gradient_boosting,query_doc,lexical_score,0.00020514801619081743
gradient_boosting,query_doc,question_in_title,0.0
gradient_boosting,rank_score,rank,0.4591261648039749
gradient_boosting,rank_score,reciprocal_rank,0.2972287269361366
gradient_boosting,rank_score,score_margin_to_top,0.09740273344081071
gradient_boosting,rank_score,score_ratio_to_top,0.05304825175257079
gradient_boosting,rank_score,bridge_score,0.03682726337645472
gradient_boosting,rank_score,score,0.027413577024751383
gradient_boosting,rank_score,sparse_score,0.01438850077254347
gradient_boosting,rank_score,is_linked,0.007899754775304179
gradient_boosting,rank_score,is_firsthop,0.006665027117453171
logistic_regression_balanced,all,score_ratio_to_top,1.88232283880407
logistic_regression_balanced,all,score_margin_to_top,0.8011899991852893
logistic_regression_balanced,all,rank,-0.5854480239418103
logistic_regression_balanced,all,title_in_question,0.5679394692136603
logistic_regression_balanced,all,title_token_mentioned_by_other_docs,0.46242973471083215
logistic_regression_balanced,all,reciprocal_rank,0.4410669773239048
logistic_regression_balanced,all,candidate_title_overlap_max,-0.3809085193632858
logistic_regression_balanced,all,text_query_overlap,0.37941827770570424
logistic_regression_balanced,all,title_query_overlap,-0.32305031639392473
logistic_regression_balanced,all,mentions_other_candidate_titles,0.3156224674215161
logistic_regression_balanced,all,title_len,-0.2662501459691288
logistic_regression_balanced,all,candidate_title_overlap_mean,-0.20412117298363955
logistic_regression_balanced,all,is_firsthop,-0.19938624880763903
logistic_regression_balanced,all,is_linked,0.19938624880763903
logistic_regression_balanced,all,mentions_query_overlap_titles,-0.1885934218101573
logistic_regression_balanced,all,bridge_score,0.173870419433018
logistic_regression_balanced,all,text_len,-0.15536571025056356
logistic_regression_balanced,all,score,0.08215662075781893
logistic_regression_balanced,all,lexical_score,0.08215536444947856
logistic_regression_balanced,all,sparse_score,-0.04300926829849018
logistic_regression_balanced,all,title_mentioned_by_other_docs,0.027043460627812946
logistic_regression_balanced,all,question_in_title,0.0
logistic_regression_balanced,bridge_context,text_query_overlap,0.677759809879505
logistic_regression_balanced,bridge_context,reciprocal_rank,0.6388994607219983
logistic_regression_balanced,bridge_context,rank,-0.5985196077106718
logistic_regression_balanced,bridge_context,score,0.5155724727647664
logistic_regression_balanced,bridge_context,mentions_other_candidate_titles,0.4539053032854007
logistic_regression_balanced,bridge_context,title_mentioned_by_other_docs,0.4360209650885734
logistic_regression_balanced,bridge_context,candidate_title_overlap_mean,-0.31287926121060344
logistic_regression_balanced,bridge_context,mentions_query_overlap_titles,-0.29777496570121664
logistic_regression_balanced,bridge_context,title_token_mentioned_by_other_docs,0.19646908530554863
logistic_regression_balanced,bridge_context,candidate_title_overlap_max,-0.12563298429897768
logistic_regression_balanced,bridge_context,title_query_overlap,0.0950016860188496
logistic_regression_balanced,bridge_context,is_firsthop,-0.07485811471161208
logistic_regression_balanced,bridge_context,is_linked,0.07485811471161208
logistic_regression_balanced,query_doc,text_query_overlap,0.7341669598392395
logistic_regression_balanced,query_doc,rank,-0.6679991673845355
logistic_regression_balanced,query_doc,title_in_question,0.6359639854065975
logistic_regression_balanced,query_doc,reciprocal_rank,0.6115189109724678
logistic_regression_balanced,query_doc,title_query_overlap,-0.36122145708331976
logistic_regression_balanced,query_doc,score,0.3037778129887624
logistic_regression_balanced,query_doc,lexical_score,0.3037773116919838
logistic_regression_balanced,query_doc,is_firsthop,-0.283929285202496
logistic_regression_balanced,query_doc,is_linked,0.283929285202496
logistic_regression_balanced,query_doc,title_len,-0.2088943670555991
logistic_regression_balanced,query_doc,text_len,-0.05309027837011006
logistic_regression_balanced,query_doc,question_in_title,0.0
logistic_regression_balanced,rank_score,score_ratio_to_top,2.3429729235868377
logistic_regression_balanced,rank_score,score_margin_to_top,0.9705301420052375
logistic_regression_balanced,rank_score,reciprocal_rank,0.618707620316748
logistic_regression_balanced,rank_score,rank,-0.5960472876232038
logistic_regression_balanced,rank_score,is_linked,0.4625590464819173
logistic_regression_balanced,rank_score,is_firsthop,-0.46255904648191254
logistic_regression_balanced,rank_score,sparse_score,0.19340111282459638
logistic_regression_balanced,rank_score,score,-0.18540081690429644
logistic_regression_balanced,rank_score,bridge_score,0.15155052342036987
random_forest_balanced,all,rank,0.14747733903015253
random_forest_balanced,all,reciprocal_rank,0.13942871383593938
random_forest_balanced,all,score_ratio_to_top,0.07833533416927506
random_forest_balanced,all,title_in_question,0.07269709153439477
random_forest_balanced,all,text_query_overlap,0.06639707217430324
random_forest_balanced,all,score_margin_to_top,0.06576668260164334
random_forest_balanced,all,lexical_score,0.05281497872089819
random_forest_balanced,all,bridge_score,0.051988096332523784
random_forest_balanced,all,score,0.04920479213116075
random_forest_balanced,all,text_len,0.046263364411057835
random_forest_balanced,all,mentions_other_candidate_titles,0.03845513702096112
random_forest_balanced,all,title_token_mentioned_by_other_docs,0.031562635024017606
random_forest_balanced,all,sparse_score,0.031160376145802998
random_forest_balanced,all,title_query_overlap,0.025991602485009216
random_forest_balanced,all,candidate_title_overlap_mean,0.024709169511011545
random_forest_balanced,all,title_len,0.020417562514356544
random_forest_balanced,all,candidate_title_overlap_max,0.01578191925084948
random_forest_balanced,all,title_mentioned_by_other_docs,0.013360086724569207
random_forest_balanced,all,is_linked,0.01062211428667873
random_forest_balanced,all,mentions_query_overlap_titles,0.009116059840844895
random_forest_balanced,all,is_firsthop,0.008449872254549918
random_forest_balanced,all,question_in_title,0.0
random_forest_balanced,bridge_context,rank,0.21578368642494128
random_forest_balanced,bridge_context,reciprocal_rank,0.189479630197367
random_forest_balanced,bridge_context,text_query_overlap,0.13220956267088083
random_forest_balanced,bridge_context,score,0.1293010029294397
random_forest_balanced,bridge_context,mentions_other_candidate_titles,0.06936293723878847
random_forest_balanced,bridge_context,title_query_overlap,0.05657540913278067
random_forest_balanced,bridge_context,candidate_title_overlap_mean,0.054359729193665524
random_forest_balanced,bridge_context,title_token_mentioned_by_other_docs,0.04696027411021615
random_forest_balanced,bridge_context,candidate_title_overlap_max,0.03618894026829563
random_forest_balanced,bridge_context,title_mentioned_by_other_docs,0.024327882437202845
random_forest_balanced,bridge_context,mentions_query_overlap_titles,0.02211238261718148
random_forest_balanced,bridge_context,is_firsthop,0.011823151497101801
random_forest_balanced,bridge_context,is_linked,0.01151541128213852
random_forest_balanced,query_doc,rank,0.20003547809040484
random_forest_balanced,query_doc,reciprocal_rank,0.18957313898870515
random_forest_balanced,query_doc,text_len,0.11194042052210905
