variant_id,estimator,feature_set,blend_alpha,split,top_k,n,sufficient_count,sufficient_rate,mean_support_title_coverage
original_rank,none,none,,train,5,5183,2464,0.47540034728921476,0.6776963148755547
original_rank,none,none,,train,10,5183,3390,0.6540613544279374,0.7819795485240209
original_rank,none,none,,train,20,5183,3962,0.7644221493343624,0.852595022187922
original_rank,none,none,,valid,5,1110,495,0.44594594594594594,0.6549549549549549
original_rank,none,none,,valid,10,1110,697,0.627927927927928,0.7657657657657657
original_rank,none,none,,valid,20,1110,826,0.7441441441441441,0.8346846846846847
original_rank,none,none,,test,5,1112,522,0.4694244604316547,0.6672661870503597
original_rank,none,none,,test,10,1112,739,0.664568345323741,0.7846223021582733
original_rank,none,none,,test,20,1112,858,0.7715827338129496,0.8525179856115108
logistic_regression_balanced/rank_score/blend0.00,logistic_regression_balanced,rank_score,0.0,train,5,5183,2464,0.47540034728921476,0.6776963148755547
logistic_regression_balanced/rank_score/blend0.00,logistic_regression_balanced,rank_score,0.0,train,10,5183,3390,0.6540613544279374,0.7819795485240209
logistic_regression_balanced/rank_score/blend0.00,logistic_regression_balanced,rank_score,0.0,train,20,5183,3962,0.7644221493343624,0.852595022187922
logistic_regression_balanced/rank_score/blend0.00,logistic_regression_balanced,rank_score,0.0,valid,5,1110,495,0.44594594594594594,0.6549549549549549
logistic_regression_balanced/rank_score/blend0.00,logistic_regression_balanced,rank_score,0.0,valid,10,1110,697,0.627927927927928,0.7657657657657657
logistic_regression_balanced/rank_score/blend0.00,logistic_regression_balanced,rank_score,0.0,valid,20,1110,826,0.7441441441441441,0.8346846846846847
logistic_regression_balanced/rank_score/blend0.00,logistic_regression_balanced,rank_score,0.0,test,5,1112,522,0.4694244604316547,0.6672661870503597
logistic_regression_balanced/rank_score/blend0.00,logistic_regression_balanced,rank_score,0.0,test,10,1112,739,0.664568345323741,0.7846223021582733
logistic_regression_balanced/rank_score/blend0.00,logistic_regression_balanced,rank_score,0.0,test,20,1112,858,0.7715827338129496,0.8525179856115108
logistic_regression_balanced/rank_score/blend0.25,logistic_regression_balanced,rank_score,0.25,train,5,5183,2744,0.5294231140266255,0.7091452826548331
logistic_regression_balanced/rank_score/blend0.25,logistic_regression_balanced,rank_score,0.25,train,10,5183,3595,0.6936137372178275,0.8060003858769053
logistic_regression_balanced/rank_score/blend0.25,logistic_regression_balanced,rank_score,0.25,train,20,5183,3962,0.7644221493343624,0.852595022187922
logistic_regression_balanced/rank_score/blend0.25,logistic_regression_balanced,rank_score,0.25,valid,5,1110,553,0.4981981981981982,0.6855855855855856
logistic_regression_balanced/rank_score/blend0.25,logistic_regression_balanced,rank_score,0.25,valid,10,1110,753,0.6783783783783783,0.7927927927927928
logistic_regression_balanced/rank_score/blend0.25,logistic_regression_balanced,rank_score,0.25,valid,20,1110,826,0.7441441441441441,0.8346846846846847
logistic_regression_balanced/rank_score/blend0.25,logistic_regression_balanced,rank_score,0.25,test,5,1112,581,0.5224820143884892,0.697841726618705
logistic_regression_balanced/rank_score/blend0.25,logistic_regression_balanced,rank_score,0.25,test,10,1112,772,0.6942446043165468,0.8044064748201439
logistic_regression_balanced/rank_score/blend0.25,logistic_regression_balanced,rank_score,0.25,test,20,1112,858,0.7715827338129496,0.8525179856115108
logistic_regression_balanced/rank_score/blend0.50,logistic_regression_balanced,rank_score,0.5,train,5,5183,2915,0.5624155894269728,0.72795678178661
logistic_regression_balanced/rank_score/blend0.50,logistic_regression_balanced,rank_score,0.5,train,10,5183,3646,0.7034535983021416,0.81159560100328
logistic_regression_balanced/rank_score/blend0.50,logistic_regression_balanced,rank_score,0.5,train,20,5183,3962,0.7644221493343624,0.852595022187922
logistic_regression_balanced/rank_score/blend0.50,logistic_regression_balanced,rank_score,0.5,valid,5,1110,586,0.527927927927928,0.7036036036036036
logistic_regression_balanced/rank_score/blend0.50,logistic_regression_balanced,rank_score,0.5,valid,10,1110,754,0.6792792792792792,0.7936936936936937
logistic_regression_balanced/rank_score/blend0.50,logistic_regression_balanced,rank_score,0.5,valid,20,1110,826,0.7441441441441441,0.8346846846846847
logistic_regression_balanced/rank_score/blend0.50,logistic_regression_balanced,rank_score,0.5,test,5,1112,613,0.5512589928057554,0.716726618705036
logistic_regression_balanced/rank_score/blend0.50,logistic_regression_balanced,rank_score,0.5,test,10,1112,787,0.7077338129496403,0.8120503597122302
logistic_regression_balanced/rank_score/blend0.50,logistic_regression_balanced,rank_score,0.5,test,20,1112,858,0.7715827338129496,0.8525179856115108
logistic_regression_balanced/rank_score/blend0.75,logistic_regression_balanced,rank_score,0.75,train,5,5183,2983,0.5755354042060583,0.734420219949836
logistic_regression_balanced/rank_score/blend0.75,logistic_regression_balanced,rank_score,0.75,train,10,5183,3660,0.7061547366390122,0.8131391086243488
logistic_regression_balanced/rank_score/blend0.75,logistic_regression_balanced,rank_score,0.75,train,20,5183,3962,0.7644221493343624,0.852595022187922
logistic_regression_balanced/rank_score/blend0.75,logistic_regression_balanced,rank_score,0.75,valid,5,1110,607,0.5468468468468468,0.7153153153153153
logistic_regression_balanced/rank_score/blend0.75,logistic_regression_balanced,rank_score,0.75,valid,10,1110,760,0.6846846846846847,0.7968468468468468
logistic_regression_balanced/rank_score/blend0.75,logistic_regression_balanced,rank_score,0.75,valid,20,1110,826,0.7441441441441441,0.8346846846846847
logistic_regression_balanced/rank_score/blend0.75,logistic_regression_balanced,rank_score,0.75,test,5,1112,621,0.5584532374100719,0.7230215827338129
logistic_regression_balanced/rank_score/blend0.75,logistic_regression_balanced,rank_score,0.75,test,10,1112,792,0.7122302158273381,0.8156474820143885
logistic_regression_balanced/rank_score/blend0.75,logistic_regression_balanced,rank_score,0.75,test,20,1112,858,0.7715827338129496,0.8525179856115108
logistic_regression_balanced/rank_score/blend1.00,logistic_regression_balanced,rank_score,1.0,train,5,5183,2990,0.5768859733744935,0.7356743198919544
logistic_regression_balanced/rank_score/blend1.00,logistic_regression_balanced,rank_score,1.0,train,10,5183,3665,0.7071194289021802,0.8140073316612001
logistic_regression_balanced/rank_score/blend1.00,logistic_regression_balanced,rank_score,1.0,train,20,5183,3962,0.7644221493343624,0.852595022187922
logistic_regression_balanced/rank_score/blend1.00,logistic_regression_balanced,rank_score,1.0,valid,5,1110,618,0.5567567567567567,0.7193693693693693
