method_name,policy,split,metric,point,ci_low,ci_high,bootstrap_iters
top1_embedding_threshold,balanced,retrieval_test,coverage,0.015287769784172662,0.008992805755395683,0.022482014388489208,1000
top1_embedding_threshold,balanced,retrieval_test,selective_accuracy,0.4117647058823529,0.1875,0.6666666666666666,1000
top1_embedding_threshold,balanced,retrieval_test,insufficient_answer_rate,0.013315579227696404,0.005369127516778523,0.021710371069553418,1000
top1_embedding_threshold,balanced,retrieval_test,sufficient_abstain_rate,0.9806094182825484,0.9663849218443854,0.9940661572262633,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,coverage,0.24010791366906475,0.21492805755395683,0.2652877697841727,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,selective_accuracy,0.7191011235955056,0.665548024466854,0.767617013870294,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.09986684420772303,0.08089650611202336,0.12318658607049202,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.46814404432132967,0.4161894008891398,0.5192321958456974,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,coverage,0.13489208633093525,0.11600719424460432,0.15467625899280577,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,selective_accuracy,0.84,0.7754974489795918,0.8910289115646259,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.03195739014647137,0.02088636858137511,0.04563758389261745,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.6509695290858726,0.6021823969636216,0.7020102322012933,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,coverage,0.26798561151079137,0.24370503597122303,0.295863309352518,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,selective_accuracy,0.7751677852348994,0.7275594434932477,0.8237294629521398,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.08921438082556592,0.06896551724137931,0.1097728214445082,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.3601108033240997,0.30577938475665745,0.40771349862258954,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,coverage,0.4091726618705036,0.381294964028777,0.4397482014388489,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,selective_accuracy,0.6373626373626373,0.5925051048382524,0.6822470017247603,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,insufficient_answer_rate,0.2197070572569907,0.19151487273277015,0.2516815261044177,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,sufficient_abstain_rate,0.19667590027700832,0.1540591690891473,0.23860665976115036,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,coverage,1.0,1.0,1.0,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,selective_accuracy,0.32464028776978415,0.29676258992805754,0.35251798561151076,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,insufficient_answer_rate,1.0,1.0,1.0,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,sufficient_abstain_rate,0.0,0.0,0.0,1000
