sample,policy,action_type,target_k,n,coverage,answered_f1,answered_em,answered_sufficient_rate,insufficient_substantive_answer_rate,decision_insufficient_answer_rate,sufficient_abstain_rate,false_answer_count,insufficient_substantive_count,wrong_substantive_count,over_abstain_count,delta_f1_vs_naive_top5,delta_isar_vs_naive_top5,delta_false_answer_vs_naive_top5,delta_wrong_substantive_vs_naive_top5,delta_f1_vs_naive_top20,delta_isar_vs_naive_top20,delta_false_answer_vs_naive_top20,delta_wrong_substantive_vs_naive_top20,dominates_naive_top5_on_f1_and_isar,dominates_naive_top20_on_f1_and_isar
stratified_qa90,naive_top5,always_answer,5,90,1.0,0.34214285714285714,0.26666666666666666,0.3333333333333333,0.25,1.0,0.0,60,15,20,0,0.0,0.0,0,0,-0.16999999999999998,-0.04999999999999999,30,-12,True,False
stratified_qa90,naive_top20,always_answer,20,90,1.0,0.5121428571428571,0.3888888888888889,0.6666666666666666,0.3,1.0,0.0,30,9,32,0,0.16999999999999998,0.04999999999999999,-30,12,0.0,0.0,0,0,False,True
stratified_qa90,balanced,answer_abstain_top5,5,90,0.5444444444444444,0.45383867832847424,0.3877551020408163,0.46938775510204084,0.11666666666666667,0.43333333333333335,0.23333333333333334,26,7,11,7,0.1116958211856171,-0.13333333333333333,-34,-9,-0.05830417881438288,-0.18333333333333332,-4,-21,True,False
stratified_qa90,retrieve_more_balanced,answer_retrieve_more_abstain,20,90,0.6777777777777778,0.6284933645589382,0.5081967213114754,0.8032786885245902,0.13333333333333333,0.4,0.18333333333333332,12,4,22,11,0.2863505074160811,-0.11666666666666667,-48,2,0.1163505074160811,-0.16666666666666666,-18,-10,True,True
stratified_qa90,retrieve_more_risk_control@suff_abstain15,answer_retrieve_more_abstain,20,90,0.4888888888888889,0.65995670995671,0.5227272727272727,0.8863636363636364,0.03333333333333333,0.16666666666666666,0.35,5,1,17,21,0.3178138528138528,-0.21666666666666667,-55,-3,0.14781385281385284,-0.26666666666666666,-25,-15,True,True
stratified_qa90,retrieve_more@cov85,answer_retrieve_more_abstain,20,90,0.7666666666666667,0.5887163561076605,0.4492753623188406,0.782608695652174,0.16666666666666666,0.5,0.1,15,5,28,6,0.24657349896480335,-0.08333333333333334,-45,8,0.07657349896480337,-0.13333333333333333,-15,-4,True,True
natural_qa120,naive_top5,always_answer,5,120,1.0,0.5934824434824435,0.5083333333333333,0.6666666666666666,0.225,1.0,0.0,40,9,28,0,0.0,0.0,0,0,-0.06287397787397786,-0.19807692307692307,14,-12,True,False
natural_qa120,naive_top20,always_answer,20,120,1.0,0.6563564213564214,0.525,0.7833333333333333,0.4230769230769231,1.0,0.0,26,11,40,0,0.06287397787397786,0.19807692307692307,-14,12,0.0,0.0,0,0,False,True
natural_qa120,balanced,answer_abstain_top5,5,120,0.6916666666666667,0.7121542446843652,0.6265060240963856,0.8192771084337349,0.1,0.375,0.15,15,4,20,12,0.11867180120192167,-0.125,-25,-8,0.05579782332794381,-0.32307692307692304,-11,-20,True,True
natural_qa120,retrieve_more_balanced,answer_retrieve_more_abstain,20,120,0.75,0.7285986852653519,0.5777777777777777,0.9222222222222223,0.19230769230769232,0.2692307692307692,0.11702127659574468,7,5,34,11,0.13511624178290838,-0.03269230769230769,-33,6,0.07224226390893052,-0.23076923076923075,-19,-6,True,True
natural_qa120,retrieve_more_risk_control@suff_abstain15,answer_retrieve_more_abstain,20,120,0.6833333333333333,0.730169288705874,0.5853658536585366,0.926829268292683,0.15384615384615385,0.23076923076923078,0.19148936170212766,6,4,30,18,0.13668684522343055,-0.07115384615384615,-34,2,0.0738128673494527,-0.2692307692307692,-20,-10,True,True
natural_qa120,retrieve_more@cov85,answer_retrieve_more_abstain,20,120,0.8166666666666667,0.7190078628854139,0.5714285714285714,0.8979591836734694,0.23076923076923078,0.38461538461538464,0.06382978723404255,10,6,36,6,0.12552541940297035,0.0057692307692307765,-30,8,0.06265144152899249,-0.1923076923076923,-16,-4,False,True
