method_name,policy,split,metric,point,ci_low,ci_high,bootstrap_iters
top1_embedding_threshold,balanced,retrieval_test,coverage,1.0,1.0,1.0,1000
top1_embedding_threshold,balanced,retrieval_test,selective_accuracy,0.6623201438848921,0.6438848920863309,0.6807666366906474,1000
top1_embedding_threshold,balanced,retrieval_test,insufficient_answer_rate,1.0,1.0,1.0,1000
top1_embedding_threshold,balanced,retrieval_test,sufficient_abstain_rate,0.0,0.0,0.0,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,coverage,0.7225719424460432,0.7032374100719424,0.7405575539568345,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,selective_accuracy,0.8456751711263223,0.8276264679184532,0.8634118134208965,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.33022636484687085,0.2969160479725871,0.36472506989748366,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.07739307535641547,0.06411460589125086,0.09041947335359024,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,coverage,0.585431654676259,0.5656474820143885,0.6038781474820143,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,selective_accuracy,0.9408602150537635,0.9280098809913746,0.9536544183142177,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.10252996005326231,0.08061635459549782,0.1245073504607354,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.16836388323150034,0.1509031772154667,0.18673071440868255,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,coverage,0.6636690647482014,0.6447841726618705,0.6825651978417265,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,selective_accuracy,0.9071815718157181,0.8928321850729176,0.9219546070460705,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.18242343541944075,0.1553251423608401,0.20961391978801042,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.09097080787508487,0.07685982538246602,0.10515647024681463,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,coverage,0.5881294964028777,0.5669964028776978,0.6070143884892086,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,selective_accuracy,0.9541284403669725,0.9426890882956924,0.9640672782874617,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,insufficient_answer_rate,0.07989347536617843,0.06166173932204635,0.09960481524038615,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,sufficient_abstain_rate,0.15274949083503056,0.13477541078607735,0.1705288088270425,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,coverage,0.89568345323741,0.8826438848920863,0.9078349820143884,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,selective_accuracy,0.7339357429718876,0.7142139501301634,0.7523731407838682,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,insufficient_answer_rate,0.7057256990679095,0.6731504990259854,0.7356955466055849,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,sufficient_abstain_rate,0.00746775288526816,0.003472041753291753,0.012371503649242596,1000
